seq_id	source_tag	primary_tag	start	end	score	strand	frame	ID	inference	locus_tag	note	product	protein_id	Parent
gnl|OsHV|ORFi_1	Prodigal:002006	gene	1360	4905	.	1	0	nbis-gene-1	ab initio prediction:Prodigal:002006, similar to AA sequence:Ostreid_herpesvirus.faa:AVL26934.1	ORFi_00001	ORF7	hypothetical protein	gnl|OsHV|ORFi_00001
gnl|OsHV|ORFi_1	Prodigal:002006	mRNA	1360	4905	.	1	0	nbisL2-cds-1	ab initio prediction:Prodigal:002006, similar to AA sequence:Ostreid_herpesvirus.faa:AVL26934.1	ORFi_00001	ORF7	hypothetical protein	gnl|OsHV|ORFi_00001	nbis-gene-1
gnl|OsHV|ORFi_1	Prodigal:002006	CDS	1360	4905	.	1	0	ORFi_00001	ab initio prediction:Prodigal:002006, similar to AA sequence:Ostreid_herpesvirus.faa:AVL26934.1	ORFi_00001	ORF7	hypothetical protein	gnl|OsHV|ORFi_00001	nbisL2-cds-1
gnl|OsHV|ORFi_1	Prodigal:002006	exon	1360	4905	.	1	.	nbis-exon-1	ab initio prediction:Prodigal:002006, similar to AA sequence:Ostreid_herpesvirus.faa:AVL26934.1	ORFi_00001	ORF7	hypothetical protein	gnl|OsHV|ORFi_00001	nbisL2-cds-1
gnl|OsHV|ORFi_1	Prodigal:002006	gene	14482	14682	.	-1	0	nbis-gene-10	ab initio prediction:Prodigal:002006	ORFi_00010	hypothetical protein	gnl|OsHV|ORFi_00010
gnl|OsHV|ORFi_1	Prodigal:002006	mRNA	14482	14682	.	-1	0	nbisL2-cds-10	ab initio prediction:Prodigal:002006	ORFi_00010	hypothetical protein	gnl|OsHV|ORFi_00010	nbis-gene-10
gnl|OsHV|ORFi_1	Prodigal:002006	CDS	14482	14682	.	-1	0	ORFi_00010	ab initio prediction:Prodigal:002006	ORFi_00010	hypothetical protein	gnl|OsHV|ORFi_00010	nbisL2-cds-10
gnl|OsHV|ORFi_1	Prodigal:002006	exon	14482	14682	.	-1	.	nbis-exon-10	ab initio prediction:Prodigal:002006	ORFi_00010	hypothetical protein	gnl|OsHV|ORFi_00010	nbisL2-cds-10
gnl|OsHV|ORFi_1	Prodigal:002006	gene	136935	142565	.	1	0	nbis-gene-100	ab initio prediction:Prodigal:002006, similar to AA sequence:Ostreid_herpesvirus.faa:ASK05754.1	ORFi_00100	ORF100	hypothetical protein	gnl|OsHV|ORFi_00100
gnl|OsHV|ORFi_1	Prodigal:002006	mRNA	136935	142565	.	1	0	nbisL2-cds-100	ab initio prediction:Prodigal:002006, similar to AA sequence:Ostreid_herpesvirus.faa:ASK05754.1	ORFi_00100	ORF100	hypothetical protein	gnl|OsHV|ORFi_00100	nbis-gene-100
